Resp.ID,Collector.ID,start.date,End.date,converse.id,dream.id,usewell.id,whenever.id,consider.ought,people.ought,expect.ought,educated,fail.ought,enjoy.intr,life.intr,exciting.intr,challenge.intr,job.instru,knowledge.instru,career.instru,money.instru,time.integr,becomelike.integr,meeting.integr,affinity.integr,improve.prof,speaking.prof,reading.prof,written.prof,listening.prof,citizen.post,interact.post,overseas.post,globalaccess.post,reconnect.comm,speakersmelb.comm,comecloser.comm,mot.qual,advantages.qual,idealfuture.qual,succ1.attrib,educ2.attrib,open3.attrib,élite4.attrib,citizen5.attrib,employable6.attrib,cultured7.attrib,interesting8.attrib,other.comment9.attrib,parents1.external,friends2.external,teachers3.external,press4.external,duty5.external,noextern6.external,other7.external,encouragement1.influence,insistence2.influence,pressure3.influence,other4.influence,transl1.sector,research2.sector,teaching3.sector,business4.sector,tourism5.sector,banking6.sector,organisation7.sector,communication8.sector,intrelations9.sector,Notsure10.sector,other11.sector,Age,Gender,L1,speak.other.L2,study.other.L2,origins,origins.specify,primary1.L2school,secondary2.L2school,CLS3.L2school,VSL4.L2school,schooL2country5.L2school,other6.L2school,L2.VCE,private.lessons1.other.ways,study.holiday2.other.ways,year.sem.abroad3.other.ways,online.course4.other.ways,other5.other.ways,arts.major.degree1,arts.minor.breadth.degree2,arts.breadth.degree3,arts.diploma.degree3,science.major.degree4,science.minor.breadth5,science.breadth.degree6,other.degree.7,additional.major.minor1,additional.major.minor2,additional.major.minor3,additional.major.minor4,additional.major.minor5,additional.major.minor6,additional.major.minor7,additional.major.minor8,additional.major.minor9,additional.major.minor10,additional.major.minor11,additional.major.minor12,additional.major.minor13,additional.major.minor14,additional.major.minor15,additional.major.minor16,additional.major.minor17,additional.major.minor18,additional.major.minor19,additional.major.minor20,additional.major.minor21,additional.major.minor22,additional.major.minor23,additional.major.minor24,additional.major.minor25,additional.major.minor26,additional.major.minor27,additional.major.minor28,additional.major.minor29,additional.major.minor30,additional.major.minor31,additional.major.minor32,other.major.minor33,uni1.year,language.studies1.year,beginning.level,prof,year.studyL2,Context,other.attrib.richi,other.external.richi,other.sector.richi,other.L2school.richi,other.other.ways.richi,degree,degree.role
5313765861,97084573,2017-04-03T11:53:00Z,2017-04-03T12:09:00Z,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Not sure,Agree,Disagree,Agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Not sure,Not sure,"I would like to master a third language and I studied German at school. Also, I would like to work in Europe some time in the future and I think speaking German will be useful.",I will hopefully be able to work in Germany or with a European organisation some day.,"I am studying International Relations and language is a key component of that field. I would like to work with a European-based organisation in the future, so German will be useful.",0,1,0,0,0,1,1,1,NA,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,31-35,Female,English,Italian,No,No,NA,0,1,0,0,0,NA,Yes,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master of International Relations with Diploma of Languages (German),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master,1st year,German 3 (Melbourne University),Elementary,more than 6 years,German in Australia,NA,NA,NA,NA,NA,HUM,DIPLOMA
5313784262,97084573,2017-04-03T12:26:00Z,2017-04-03T12:35:00Z,Not sure,Not sure,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Not sure,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,"The main motivation for learning German is to provide better employment opportunities in the future, as well as to allow myself greater access to an increasingly globalised and interconnected world. The learning of a second language is also a sign of intelligence and globalised thinking. Learning German is also useful beacuse learning a second language can assist in brain development.",Learning German at university level gives an individual certain claim to being able to proficienty speak the language. Once german study is commenced at a tertiary level it indicated that an individual is capable enough to be considered near fluent in a language and is a sure sign to employers of an individuals dedication and profficienty in said language.,"I hope that German will play a large role in my future, considering my aspirations in terms of employment, German would be increadibly useful in areas of international diplomacy or law, as it is ignorant of anyone in the global arena to only speak one language. In order to engage on a deeper level one should be prepared and capable of speaking more than one language.",1,1,1,0,1,1,1,1,NA,1,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,18-25,Male,English,"German, French",French,Yes,"German origins, lived in Switzerland",1,1,1,0,1,NA,Yes,NA,1,1,NA,NA,NA,NA,Bachelor of Arts with German as a breadth subject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Studies,NA,NA,NA,NA,NA,NA,Politics and International Studies,NA,NA,NA,NA,NA,NA,1st year,1st year,German 5 (Melbourne University),Advanced,more than 6 years,German in Australia,NA,NA,NA,NA,NA,HUM,BREADTH
5313793220,97084573,2017-04-03T12:40:00Z,2017-04-03T12:53:00Z,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Not sure,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Not sure,Strongly agree,Strongly agree,Agree,Agree,Agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Not sure,I fell in love with the language when I was thirteen and ever since I've felt like the more I learn the more I want to learn and I get excited when I can understand people that no one else in my family can -it's like I'm speaking a secret language,"Business wise, I guess it could help if you wanted to work with Europe. However it shows a commitment and self-determination to be able to learn a language from scratch when there is no cultural need or requirement in order to participate in a global society.","I hope to maybe live in Germany, expand my knowledge, interact with german society, understand global matters more.",0,1,1,0,1,1,1,1,NA,0,1,0,0,0,0,QC,0,0,0,1,0,0,0,1,0,0,1,0,1,1,NA,18-25,Female,English,No,No,No,NA,0,1,0,0,0,NA,Yes,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arts Vertical Double Degree with Diploma of Languages (German),NA,Anthropology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,International Relations,1st year,3rd year,German 5 (Melbourne University),Upper-intermediate,4-6 years,German in Australia,NA,QC,NA,NA,NA,HUM,DIPLOMA
5313793222,97084573,2017-04-03T12:41:00Z,2017-04-03T12:44:00Z,Not sure,Agree,Agree,Agree,Not sure,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not sure,Agree,Not sure,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Not sure,Not sure,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German in Australia,NA,NA,NA,NA,NA,NA,NA
5313794371,97084573,2017-04-03T12:43:00Z,2017-04-03T13:25:00Z,Agree,Agree,Not sure,Agree,Disagree,Not sure,Disagree,Agree,Disagree,Agree,Not sure,Strongly agree,Agree,Not sure,Agree,Strongly agree,Not sure,Strongly agree,Not sure,Agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Not sure,Not sure,I wanted to learn another language and having learnt some German in high school it seemed sensible to continue to learn German at uni. German is also one of the most spoken languages so I hope I will be able to use it around the world.,"I think learning German at a university level might allow me to better improve relationships with German speakers. Although they can speak English it would be nice I think, and more respectful if I made the effort/was able to communicate in their language too.",I have friends in Germany & I would love to be able to visit them in the future and communicate with them in German rather than them always having to speak English. I also hope that I will be able to get a job in a German speaking country or at least be able to facilitate international cooperation with a German speaking country from Australia,0,0,1,0,1,1,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,18-25,Female,English,No,No,No,NA,0,1,0,0,0,NA,Yes,NA,0,0,NA,NA,Bachelor of Arts with German as a major,NA,NA,NA,Bachelor of Science with German as a major,NA,NA,NA,NA,NA,NA,NA,Arts Minors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bioethics, biology, chemistry",1st year,1st year,German 5 (Melbourne University),Upper-intermediate,1-3 years,German in Australia,NA,NA,NA,NA,NA,HUM.SCI,MAJOR
5313795517,97084573,2017-04-03T12:40:00Z,2017-04-03T12:58:00Z,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Not sure,Strongly agree,Agree,Not sure,Not sure,Agree,Not sure,Strongly agree,Disagree,Strongly agree,Not sure,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,I want to travel/study in Europe and German was the only one of two languages offered at my high school that I was interested in. I enjoy language and linguistic studies and studying German aligns with that,"Any multi-lingual knowledge at a proficient level is sought after in the workplace and in the world in general as part of the global community, and, although English is one of the most spoken languages in the world and a lingua franca for many nations, it feels somewhat ignorant or entitled for english L1 speakers to suggest that everyone ought to speak english.","German will allows me to work and travel with more ease than if I didnt have german language ability, make friends and connections in Europe and especially the German speaking countries and hopefully enable me to have a greater understanding of how languages work, and use this to learn more languages alongside german",0,0,1,0,1,1,1,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,0,SCIENCE,18-25,Female,English,German,No,Yes,"Yes, far back in my family tree I have German heritage. I believe they came to Australia around the 1800s",0,1,0,0,0,NA,Yes,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor of Science/Bachelor of Global Studies (with a major in German),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st year,1st year,German 5 (Melbourne University),Upper-intermediate,4-6 years,German in Australia,NA,NA,SCIENCE,NA,NA,HUM.SCI,MAJOR
5313809741,97084573,2017-04-03T13:07:00Z,2017-04-03T13:26:00Z,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Agree,Strongly disagree,Disagree,Not sure,Strongly agree,Not sure,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Not sure,Strongly disagree,Agree,Disagree,"Having lived in Berlin and becoming engaged in the city's music and arts, I want to obtain a good degree of proficiency in the language to further this understanding and relationship with these cultures.","Being able to unlock an entire other epistemology, which comes with the comprehension of different linguistic forms. To participate and appreciate German art and culture without the barriers of translation affecting and confusing meaning. And to be able to assimilate into communities outside of  the Anglo sphere.","To be able to move to Berlin and assimilate into the city's artistic and cultural communities; as well as to surmount the barriers of translation when engaging with German literature, film and music.",0,1,1,0,0,0,1,0,NA,0,0,0,0,0,1,M.NO.EXTERNAL.FACTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTERTAINMENT,18-25,Male,English,"Some French, however not with fluency",No,No,NA,0,0,0,0,0,NA,No,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor of Art; unsure of what role German will play yet, whether maj, min, or diploma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English and Theatre Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Screen and Cultural Studies,NA,NA,NA,2nd year,2nd year,German 2,Intermediate,Less than a year,German in Australia,NA,M.NO.EXTERNAL.FACTORS,ENTERTAINMENT,NA,NA,HUM,PENDING
5313812058,97084573,2017-04-03T13:11:00Z,2017-04-03T13:14:00Z,Strongly agree,Strongly agree,Not sure,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Not sure,Strongly agree,Agree,Not sure,Strongly agree,Not sure,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Not sure,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German in Australia,NA,NA,NA,NA,NA,NA,NA
5313828614,97084573,2017-04-03T12:46:00Z,2017-04-03T13:52:00Z,Not sure,Agree,Disagree,Not sure,Agree,Agree,Disagree,Disagree,Strongly disagree,Not sure,Disagree,Agree,Not sure,Agree,Agree,Agree,Disagree,Agree,Not sure,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Not sure,"My main motivation for studying German is to continue and improve my German proficiency from my high school education. Another motivator is the possibility of studying or living in a German speaking country, I would love to study in Berlin.","Germany is a country with a large, heavily industrialised economy that presents many opportunities for work. It also has some of the best universities in the world, and learning german makes the possibility of studying at one of them greater.",German will enable me to potentially study or live in a German speaking country.,0,1,1,0,1,0,0,0,NA,0,0,1,0,0,1,M.NO.EXTERNAL.FACTORS,0,1,0,0,1,1,1,0,0,0,0,0,1,0,NA,18-25,Male,English,Spanish,Spanish,Yes,My great great great (great?) grandfather was a german speaking migrant to australia,0,1,0,0,0,NA,Yes,NA,0,0,NA,NA,NA,Bachelor of Arts with German as a minor/breadth subject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philosophy,NA,NA,NA,NA,NA,Spanish and Latin American Studies,NA,1st year,1st year,German 5 (Melbourne University),Intermediate,4-6 years,German in Australia,NA,M.NO.EXTERNAL.FACTORS,NA,NA,NA,HUM,MINOR.BREADTH
5313843553,97084573,2017-04-03T14:03:00Z,2017-04-03T14:43:00Z,Strongly agree,Not sure,Agree,Agree,Not sure,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Not sure,Not sure,Agree,Agree,Not sure,Strongly agree,Not sure,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,"I've had a passion for learning German since year 7 (first year of high school) for no real apparent reason other than that my siblings weren't learning it. From there on, I've just always loved German and my motivation to study it stems from my passion to learn it. I genuinely love the language, as well as German culture that I experienced from my 6 week exchange there, and that drives me to improve my language skills.",I feel this way about learning any second language at university. It allows a student to branch out beyond the limitations of university and become connected with the wider world.,"I want to be able to go to Germany and perhaps do an internship. Germany is so influential in todays economics and social impact, that having some form of connection to it would help me perhaps even gain a job and appeal to a wider range of employers.",1,0,0,0,1,0,1,1,NA,0,0,0,0,0,1,QC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18-25,Female,English and Dutch,Dutch (and German),No,No,NA,0,1,0,0,1,EXCHANGE,Yes,NA,0,0,NA,NA,Bachelor of Arts with German as a major,NA,NA,NA,Bachelor of Science with German as a major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Literary Studies,1st year,1st year,German 5 (Melbourne University),Upper-intermediate,4-6 years,German in Australia,NA,QC,NA,EXCHANGE,NA,SCI,MAJOR
