"Resp.ID","Collector.ID","start.date","End.date","converse.id","dream.id","usewell.id","whenever.id","consider.ought","people.ought","expect.ought","fail.ought","enjoy.intr","life.intr","exciting.intr","challenge.intr","job.instru","knowledge.instru","career.instru","money.instru","time.integr","becomelike.integr","meeting.integr","affinity.integr","improve.prof","speaking.prof","reading.prof","written.prof","listening.prof","citizen.post","interact.post","overseas.post","globalaccess.post","mot.qual","advantages.qual","idealfuture.qual","succ1.attrib","educ2.attrib","open3.attrib","élite4.attrib","citizen5.attrib","employable6.attrib","cultured7.attrib","interesting8.attrib","other.comment9.attrib","parents1.external","friends2.external","teachers3.external","press4.external","duty5.external","noextern6.external","other7.external","encouragement1.influence","other4.influence","transl1.sector","research2.sector","teaching3.sector","business4.sector","tourism5.sector","banking6.sector","organisation7.sector","communication8.sector","intrelations9.sector","Notsure10.sector","other11.sector","Age","Gender","L1","speak.other.L2","study.other.L2","origins","origins.specify","year.studyL2","private.lessons1.other.ways","study.holiday2.other.ways","year.sem.abroad3.other.ways","online.course4.other.ways","other5.other.ways","degree","prof","insistence2.influence","pressure3.influence","Context","other.attrib.richi","other.external.richi","other.sector.richi","other.other.ways.richi","necessity","other.speak.other.L2","other.year.studyL2","other.degree1","study.year","other.prof","other.year.studyL2.reduced","other.year.studyL2.richi","comparative.culture.minor1","philosophy.minor2","Language.literature.culture.minor3","art.music.theatre.minor4","ancient studies.minor5","history.minor6","computer.science.minor7","law.minor8","economics.minor9","communication.minor10","catholic.theology.minor11","evangelical.theology.minor12","DAF.minor13","orthodox theology.minor14","sinology.minor15","scandinavian.studies.minor16","other.minor17","other.degree.richi","roleL2.degree","other.roleL2.degree","fail.ought.","meeting.integr.","EU","educated","reconnect.comm","speakersmelb.comm","comecloser.comm","primary1.L2school","secondary2.L2school","CLS3.L2school","VSL4.L2school","schooL2country5.L2school","other6.L2school","L2.VCE","additional.major.minor1","additional.major.minor2","additional.major.minor3","additional.major.minor4","additional.major.minor5","additional.major.minor6","additional.major.minor7","additional.major.minor8","additional.major.minor9","additional.major.minor10","additional.major.minor11","additional.major.minor12","additional.major.minor13","additional.major.minor14","additional.major.minor15","additional.major.minor16","additional.major.minor17","additional.major.minor18","additional.major.minor19","additional.major.minor20","additional.major.minor21","additional.major.minor22","additional.major.minor23","additional.major.minor24","additional.major.minor25","additional.major.minor26","additional.major.minor27","additional.major.minor28","additional.major.minor29","additional.major.minor30","additional.major.minor31","additional.major.minor32","other.major.minor33","uni1.year","language.studies1.year","beginning.level","other.L2school.richi","degree.role","degree.roleL2","other.degree.roleL2","arts.major.degree1","arts.minor.breadth.degree2","arts.breadth.degree3","arts.diploma.degree3","science.major.degree4","science.minor.breadth5","science.breadth.degree6","other.degree.7","AU","speak.other.L2_binary","converse.id1","dream.id1","usewell.id1","whenever.id1","consider.ought1","people.ought1","expect.ought1","fail.ought1","enjoy.intr1","life.intr1","exciting.intr1","challenge.intr1","job.instru1","knowledge.instru1","career.instru1","money.instru1","time.integr1","becomelike.integr1","meeting.integr1","affinity.integr1","improve.prof1","speaking.prof1","reading.prof1","written.prof1","listening.prof1","citizen.post1","interact.post1","overseas.post1","globalaccess.post1","necessity1","educated1","reconnect.comm1","speakersmelb.comm1","comecloser.comm1"
5122148133,94260199,2016-12-03 01:01:00,2016-12-03 01:10:00,"Strongly agree","Agree","Agree","Strongly agree","Not sure","Not sure","Not sure","Disagree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree",NA,NA,NA,0,1,1,0,1,1,1,1,NA,0,0,0,1,0,0,NA,1,NA,1,0,0,1,1,0,1,1,1,0,NA,"18-25","Male","Italian","Yes","Chinese","No",NA,"First year of primary school",0,0,0,0,"L2.RESOURCES, MEDIA","Lingue, mercati e culture dell'Asia","Upper-intermediate",0,0,"English in Italy",NA,NA,NA,"L2.RESOURCES, MEDIA","Disagree","I am currently studying Chinese at the University of Bologna.",NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,4,4,5,3,3,3,2,5,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,5,4,4,2,NA,NA,NA,NA
5122497507,94260199,2016-12-03 04:03:00,2016-12-03 04:23:00,"Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Strongly agree","Agree","Not sure","Strongly agree","Strongly agree","Not sure","Strongly agree","Not sure","Strongly agree","Not sure","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","I'm studying English because I work in  public office and it's very important to know another language a part from Italian.","I think that studying English (on anothel language) is the best way to improve our knowledge and to be ablo to travel and deal with other cultures.","As I said in the first answer, I work in a public office. I have to deal with meny people from different Countries and learning English would be helpful. Maybe, one day, I could reach a higer level.",0,1,1,0,1,0,1,1,"QC",0,0,0,0,0,1,"QC",1,NA,1,0,1,0,0,0,1,0,1,0,NA,"18-25","Female","Italian","Yes","Japanese","No",NA,"SECOND.YEAR.PRIMARY",0,0,0,0,NA,"Lingue e letterature straniere","Intermediate",0,0,"English in Italy","QC","QC",NA,NA,"Agree","French, a little bit of Spanish","SECOND.YEAR.PRIMARY",NA,"1st year",NA,"PRIMARY","SECOND.YEAR.PRIMARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Strongly disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,5,3,5,1,2,1,1,5,4,5,4,3,5,5,3,5,3,5,3,5,5,4,5,4,5,4,5,5,4,NA,NA,NA,NA
5123468094,94260199,2016-12-04 01:13:00,2016-12-04 01:26:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","Strongly disagree","Disagree","Agree","Not sure","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Not sure","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","entrare in un ambito lavorativo nel quale questa lingua sia indispensabile","approfondire la lingua ed essere in grado di usarla anche ad un livello lavorativo più specializzato","determinante",0,0,0,1,1,1,0,1,NA,0,0,0,0,0,1,"QC",NA,NA,1,0,0,1,1,1,1,1,1,0,NA,"18-25","Female","Italian","No","russo","No",NA,"Kindergarten",1,1,0,0,NA,"Lingue e letterature straniere","Upper-intermediate",NA,NA,"English in Italy",NA,"QC",NA,NA,"Agree",NA,NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",5,5,5,5,3,3,1,2,4,3,5,4,5,5,5,3,4,3,5,4,4,5,5,5,5,5,5,5,5,4,NA,NA,NA,NA
5123984358,94260199,2016-12-04 18:21:00,2016-12-04 18:49:00,"Strongly agree","Strongly agree","Not sure","Strongly agree","Disagree","Disagree","Disagree","Not sure","Agree","Agree","Agree","Not sure","Strongly agree","Agree","Strongly agree","Not sure","Not sure","Strongly disagree","Not sure","Disagree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Principalmente, la prospettiva di poter comunicare con persone da tutto il mondo e poter ampliare anche le possibilità lavorative.","L' Italiano non è una lingua che al di fuori dell' Italia viene parlata molto, quindi non mi permetterebbe da sola di poter raggiungere certi obbiettivi. Imparare l'Inglese può darmi molto dal punto di vista della versatilità lavorativa.","Ha il ruolo di mezzo attraverso il quale poter trovare lavoro anche in contesti molto diversi dalla mia realtà attuale.",0,1,0,0,1,1,1,0,NA,0,0,0,0,0,1,"QC",NA,NA,1,1,1,0,1,0,1,0,1,0,NA,"18-25","Male","Italian","No","Japanese","No",NA,"THIRD.YEAR.PRIMARY",0,0,0,0,"L2.RESOURCES","Lingue, mercati e culture dell'Asia","Upper-intermediate",NA,NA,"English in Italy",NA,"QC",NA,"L2.RESOURCES","Agree",NA,"THIRD.YEAR.PRIMARY",NA,"1st year",NA,"PRIMARY","THIRD.YEAR.PRIMARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Not sure","Not sure",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",5,5,3,5,2,2,2,3,4,4,4,3,5,4,5,3,3,1,3,2,4,5,4,5,5,4,4,4,5,4,NA,NA,NA,NA
5124024829,94260199,2016-12-04 19:59:00,2016-12-04 20:41:00,"Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Not sure","Not sure","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I have always been really passionate about English as a language but I am also really interested in the culture of the English-speaking countries. When I have a convesation in English or I read a book written in English I feel at home. I study English because I want to master this language and to be able to understand or express any kind of concept, idea and feeling.","Everybody in Italy studies English but learning it at university level will give me the possibility to achieve a level of language skills higher than the most other Italians. Italian as a language is spoken by a minority of people in the World, whereas English is an international language so it is obviously extremely important for me be able to use it. I think mastering English will give me more possibility to find my dream job, even in a foreign country.","I hope English will have a key role in my future, as I would like to move to an English-speaking country and to find a job that would allow me to use my language skills.",0,1,1,0,1,1,1,0,NA,0,0,0,0,0,1,NA,NA,NA,0,0,1,0,1,0,1,1,0,0,"CULTURE","18-25","Female","Italian","Yes","Finnish","No",NA,"LOWER.SECONDARY",1,1,0,0,NA,"Lingue e letterature straniere","Upper-intermediate",NA,NA,"English in Italy",NA,NA,"CULTURE",NA,"Strongly agree","French and German","LOWER.SECONDARY",NA,"1st year",NA,"SECONDARY","LOWER.SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,5,4,5,2,3,3,2,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA
5124825579,94260199,2016-12-05 18:41:00,2016-12-05 19:10:00,"Strongly agree","Agree","Agree","Strongly agree","Disagree","Disagree","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree",NA,"Strongly agree","Strongly agree","For me it's quite natural to think in English. It's a part of me. I love the sounds of this language in fact I often travel abroad to hear people speaking English and to improve  my speaking skills. I also love English litterature and culture. My dream is to use this language as well as my moyjer tongue. That's why I decided to study English at University.","First of all I think that it will improve my english. I'd like to speak fluently so that everyone would be able to understand me. Nowadays it's very important to learn a language that let you communicate with the rest of the world. In Italy this idea isn't very popular, in fact the number of people with a good level of English is not so high. Schools don't  give enough importance to this point, that's why I decided to contiue my personal studying of English.","I hope that English will be a part of my daily life. I'd like to work in a context which can give the opportunity to travel a lot and to keep in touch with foreign people.",0,1,1,0,1,1,0,1,NA,0,0,0,0,0,1,NA,NA,NA,1,0,0,0,1,0,1,0,1,0,NA,"18-25","Female","Italian","No","Japanese","No",NA,"First year of primary school",0,1,0,0,NA,"Lingue, mercati e culture dell'Asia","Upper-intermediate",NA,NA,"English in Italy",NA,NA,NA,NA,NA,NA,NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",5,4,4,5,2,2,1,2,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,NA,5,5,NA,NA,NA,NA,NA
5124998573,94260199,2016-12-05 21:46:00,2016-12-05 21:55:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Strongly disagree","Disagree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","I'm currently studying English because it has always fascinated me and I've always felt like it's the easiest language for me to learn. It's becoming the most spoken language all around the world so by speaking it it'll be easier to communicate.","I think that being Italian but always being an excellent English speaker will help me to get the job that I want and become the person I dream of being.","I think that it'll be the element of my career that will help me to improve my status.",1,1,1,0,1,1,1,0,"QC",0,0,0,0,0,1,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,NA,"18-25","Female","Italian","Yes","Russian","No",NA,"Kindergarten",0,0,1,0,NA,"Lingue e letterature straniere","Advanced",NA,NA,"English in Italy","QC",NA,NA,NA,"Disagree","French, Spanish and Russian",NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,5,5,5,2,3,1,2,5,3,5,5,5,5,5,5,4,2,5,3,5,5,5,5,5,3,5,5,5,2,NA,NA,NA,NA
5125003536,94260199,2016-12-05 21:51:00,2016-12-05 22:00:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Not sure","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Vorrei diventare professoressa di letteratura inglese","A livello universitario si studia la lingua in maniera più approfondita rispetto a come viene imparata e insegnata nelle scuole di grandi inferiore","Sarà la lingua che mi permetterà di lavorare",0,1,1,0,1,1,1,1,NA,0,0,0,0,0,1,NA,NA,NA,0,1,1,0,1,0,0,0,1,0,NA,"18-25","Female","Italian","Yes","Francese","No",NA,"First year of primary school",0,1,0,0,NA,"Lingue e letterature straniere","Upper-intermediate",NA,NA,"English in Italy",NA,NA,NA,NA,"Agree","Spagnolo",NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,5,5,5,2,4,2,2,5,4,5,4,5,4,5,4,5,3,5,3,5,5,5,5,5,4,5,5,5,4,NA,NA,NA,NA
5125004720,94260199,2016-12-05 21:51:00,2016-12-05 22:15:00,"Agree","Agree","Agree","Strongly agree","Disagree","Agree","Strongly disagree","Disagree","Strongly agree","Not sure","Strongly agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Not sure","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","I want to be able to comunicate with people from other countries, get to know their culture and their lifestyle. 
I hope that having a good competence in English will help me find a job I will like.
I think English is a beautiful language to learn, and I find English literature very facinaying to study.
I want to expand my horizons.
","Personally, I think that one of the main advantages of knowing English well is being able to comunicate with other people, and I also think that, today, knowing English to an high level is important to get a job.","I see myself speaking English daily, I hope to live my life in an English speaking country.",0,1,1,0,1,0,1,1,NA,0,0,0,0,0,1,NA,NA,NA,1,0,0,1,0,0,1,1,1,1,NA,"18-25","Female","Italian","No","I study Russian, I plan to learn Spanish and hopefully also Portuguese","No",NA,"First year of primary school",0,0,0,0,NA,"Lingue e letterature straniere","Upper-intermediate",NA,NA,"English in Italy",NA,NA,NA,NA,"Agree",NA,NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",4,4,4,5,2,4,1,2,5,3,5,4,4,4,4,3,5,3,5,3,4,4,4,4,4,4,5,4,4,4,NA,NA,NA,NA
5125014922,94260199,2016-12-05 22:02:00,2016-12-05 22:15:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I would like to work abroad and be able to speak to (almost) everyone.","Nowadays, many people know English. But how many of them know English at a medium-high level? I think university helps me improving my spoken and written English, and becoming an expert of this language.","The future me will speak English to communicate with colleagues, or will teach English to Italian students, or will teach Italian to English speakers, or will translate from and to English language.",1,0,1,0,1,1,1,1,NA,0,0,0,0,0,1,"QC",0,"No external influences",0,1,0,0,0,0,1,1,1,0,NA,"18-25","Female","Italian","Yes","German","No",NA,"Kindergarten",0,0,1,0,NA,"Lingue e letterature straniere","Upper-intermediate",0,0,"English in Italy",NA,"QC",NA,NA,"Strongly disagree","French, Spanish, and German.",NA,NA,"1st year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First or second language",NA,"Strongly disagree","Strongly agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",5,5,5,5,1,4,1,1,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,1,NA,NA,NA,NA
