"Resp.ID","Collector.ID","start.date","End.date","converse.id","dream.id","usewell.id","whenever.id","consider.ought","people.ought","expect.ought","fail.ought","necessity","enjoy.intr","life.intr","exciting.intr","challenge.intr","job.instru","knowledge.instru","career.instru","money.instru","time.integr","becomelike.integr","meeting.integr","affinity.integr","improve.prof","speaking.prof","reading.prof","written.prof","listening.prof","citizen.post","interact.post","overseas.post","global.post","mot.qual","advantages.qual","idealfuture.qual","succ1.attrib","educ2.attrib","open3.attrib","élite4.attrib","citizen5.attrib","employable6.attrib","cultured7.attrib","interesting8.attrib","other.comment9.attrib","parents1.external","friends2.external","teachers3.external","press4.external","duty5.external","noextern6.external","other7.external","encouragement1.influence","other4.influence","transl1.sector","research2.sector","teaching3.sector","business4.sector","tourism5.sector","banking6.sector","organisation7.sector","communication8.sector","intrelations9.sector","Notsure10.sector","other11.sector","Age","Gender","L1","speak.other.L2","other.speak.other.L2","study.other.L2","origins","origins.specify","year.studyL2","other.year.studyL2","private.lessons1.other.ways","study.holiday2.other.ways","year.sem.abroad3.other.ways","online.course4.other.ways","other5.other.ways","degree","other.degree1","comparative.culture.minor1","philosophy.minor2","Language.literature.culture.minor3","art.music.theatre.minor4","ancient studies.minor5","history.minor6","computer.science.minor7","law.minor8","economics.minor9","communication.minor10","catholic.theology.minor11","evangelical.theology.minor12","DAF.minor13","orthodox theology.minor14","sinology.minor15","scandinavian.studies.minor16","other.minor17","study.year","prof","other.prof","insistence2.influence","pressure3.influence","Context"
5201306668,94702335,2017-02-03 01:19:00,2017-02-03 01:33:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Being able to communicate with the rest of the world, on a social level but also on a business level.
The possibility to aquire a good job.","Putting myself at an advantage over other people who might have studied English in school (no matter the level) only.","A way for communication with many of my friends, but also a mean to reach a bigger audience for my ideas. (I aim to study global journalism)",0,0,1,0,1,1,1,0,NA,0,0,0,0,0,1,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,NA,"18-25","Other","German","Yes","Basic French, basic Swedish, advanced Japanese","No","No",NA,"Other","Technically third year of primary school, but started from scratch in the 5th year at Gymnasium",0,0,1,0,NA,"BA in Anglistik",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"6th semester","Advanced",NA,NA,NA,"English in Germany"
5201108060,94702335,2017-02-02 23:37:00,2017-02-02 23:44:00,"Not sure","Agree","Strongly agree","Strongly agree","Not sure","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly disagree","Agree","Disagree","Disagree","Disagree","Not sure","Agree","Not sure","Not sure","Not sure","Strongly agree","Agree","I find English literature fascinating and interesting, and like reading the original.","Being completely secure and confident in my knowledge of English.","Probably a language I use for reading books and news, but also in business.",0,1,0,0,0,1,1,0,NA,0,0,0,0,0,1,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,NA,"18-25","Female","Croatian","Yes","German","No","No",NA,"First year of primary school",NA,1,0,0,0,"Books","BA in Anglistik",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"5th semester","Advanced",NA,NA,NA,"English in Germany"
5200940285,94702335,2017-02-02 21:32:00,2017-02-02 21:35:00,"Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Not sure","Agree","Not sure","Agree","Not sure","Agree","Agree","Strongly agree","Not sure","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"English in Germany"
5186895119,95520369,2017-01-25 01:23:00,2017-01-25 01:29:00,"Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Not sure","Strongly agree","Agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","- better job 
- better use of English 
- I absolutely love that language","- better job 
- be more open-minded","I want to become a journalist and my dream is to work for an english radio station or tv channel for some time, so english is obligatory for me.",1,1,1,0,0,1,0,1,NA,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,"18-25","Female","German","Yes","french and a bit of spanish","french and spanish","No",NA,"Other","third year of primary school",0,0,0,0,NA,"BA in Anglistik",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1st semester","Advanced",NA,NA,NA,"English in Germany"
5186887474,95520369,2017-01-25 01:18:00,2017-01-25 01:23:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Not sure","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Not sure","Strongly agree","Not sure","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Doing something fun & interesting","improvement of English skills","Hopefully, I will marry someone from an English-speaking country so that I can raise my children bilingual",1,1,1,0,1,1,1,0,NA,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,"Television","18-25","Male","German","Yes","Spanish","No","No",NA,"Other","3rd grade of elementary school",0,0,0,0,"watching English movies / tv","BA in Anglistik",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"1st semester","Advanced",NA,NA,NA,"English in Germany"
5186879340,95520369,2017-01-25 01:14:00,2017-01-25 01:18:00,"Agree","Agree","Agree","Agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Not sure","Agree","Not sure","Agree","Disagree","Agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Not sure","Strongly agree","Agree","Agree","being a teacher for english","a more global range of diversity","i will teach it",0,1,1,0,1,1,0,0,NA,1,0,1,0,0,0,"traveling","1",NA,0,0,1,0,0,0,0,0,0,0,NA,"18-25","Male","German","Yes","Italian","No","No",NA,"First year of primary school",NA,0,1,0,0,NA,"Other","Anglistik for teaching",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Geography","1st semester","Advanced",NA,0,0,"English in Germany"
5186867348,95520369,2017-01-25 01:07:00,2017-01-25 01:14:00,"Agree","Strongly agree","Strongly agree","Agree","Not sure","Not sure","Disagree","Strongly disagree","Disagree","Agree","Not sure","Agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Not sure","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","To become a teacher. But I chose English because through my 10 months stay in USA I learned to love the language.","Being able to communicative with native people from english-speaking countries & being a part of the world.","Teaching English. But also having friends all around the world and being able to stay connected. Helping other people when they're in need of english.",0,1,1,0,1,0,0,1,NA,0,0,0,0,0,1,"Only one thing: Because two of my sisters spent 1 year in America I wanted to do so. But then studying English didn't have anything to do with them.",NA,NA,1,0,1,0,0,0,0,0,0,0,NA,"18-25","Female","German","Yes","French. I had Latin in school & I am learning Old Greek right now.","No","No",NA,"Other","3rd year of primary school",0,0,1,0,NA,"Other","Lehramt",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Ich studiere kath. Religionslehre & Englisch auf Lehramt","1st semester","Advanced",NA,NA,NA,"English in Germany"
5186851988,95520369,2017-01-25 00:57:00,2017-01-25 01:06:00,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Agree","Not sure","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Not sure","Agree","Disagree","Strongly agree","I just love the language / languages in general.","To me, it's really just about being able to speak English very frequently. A job as an english teacher enables me to do so, thus, I decided to go for the studies, here, at the LMU.","It will be my fist and biggest love out of all the languages. I plan to have have learned it then.",1,1,1,1,1,1,1,1,"Everything, really. Speaking English or another language, for that matter, is nothing I do to influence my future life. These things happen or don't - English might have a role in that, though. I wouldn't know. It feels natural to me.",0,0,0,0,0,1,"Just my will to do so and my love for learning new languages / perfecting those I already know to use.",NA,NA,0,0,1,1,0,0,0,0,1,0,NA,"18-25","Male","German","Yes","Portuguese and a little French / Latin, if that counts. Playing around with Japanese and Spanish, as well.","No","No",NA,"Other","3rd grade, aside from typical 	„apple“, 	„frog“",0,0,0,0,"Obtained a huge part of my skills via converstion with native speakers, over skype.","Other","Studying to be an English teacher /economics teacher at the Gymnasium in Bavaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none","1st semester","Advanced",NA,NA,NA,"English in Germany"
5186844398,95520369,2017-01-25 00:52:00,2017-01-25 00:57:00,"Not sure","Agree","Strongly agree","Disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Not sure","Strongly agree","Disagree","Agree","Agree","Not sure","Agree","Not sure","Not sure","Agree","Disagree","Agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","I want to improve my English skills and be able to write and read about more complex topics. And I'm pretty interested in studying languages.","I never thought about this question. Maybe dropping the German accent and being able to communicate more precisly","I'm not sure. It could be important for my job.",0,1,1,0,0,0,1,1,NA,0,0,0,0,0,1,NA,NA,NA,1,1,0,0,0,0,1,1,1,0,NA,"18-25","Male","German","Yes","French, Italian","No","No",NA,"Other","5th year of school (1st of secondary school)",0,0,0,0,NA,"BA in Anglistik",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,"1st semester","Advanced",NA,NA,NA,"English in Germany"
5186586330,95520369,2017-01-24 21:13:00,2017-01-24 21:20:00,"Agree","Strongly agree","Agree","Agree","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Not sure","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Not sure","Strongly agree","Agree","Agree","I really like the language and I think it can help me fullfilling my plans for the future.","I believe that I have to improve my speaking as well as my writing skills and it will help me to understand the structure of the language itself.","There are several aspects regarding my possible career choices and also activities in my free time which will profit from a good knowledge of the language.",0,1,1,0,0,0,1,0,"Ich würde mich nicht als Teil einer besonderen Gruppe sehen. Ich studiere hauptsächlich um mich weiterzubilden.",0,0,0,0,0,1,"Ich habe mich eigenständig für das Studium entschieden.",NA,NA,1,1,0,0,1,0,1,1,0,0,NA,"18-25","Male","German","Yes","Ich lerne Japanisch","siehe oben","No",NA,"Other","3. Klasse Grundschule",0,0,0,0,NA,"BA in Anglistik",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1st semester","Upper-intermediate",NA,NA,NA,"English in Germany"
