Resp.ID,Collector.ID,start.date,End.date,converse.id,dream.id,usewell.id,whenever.id,consider.ought,people.ought,expect.ought,fail.ought,educated,enjoy.intr,life.intr,exciting.intr,challenge.intr,job.instru,knowledge.instru,career.instru,money.instru,time.integr,becomelike.integr,meeting.integr,affinity.integr,improve.prof,speaking.prof,reading.prof,written.prof,listening.prof,citizen.post,interact.post,overseas.post,globalaccess.post,reconnect.comm,speakersmelb.comm,comecloser.comm,mot.qual,advantages.qual,idealfuture.qual,succ1.attrib,educ2.attrib,open3.attrib,élite4.attrib,citizen5.attrib,employable6.attrib,cultured7.attrib,interesting8.attrib,other.comment9.attrib,parents1.external,friends2.external,teachers3.external,press4.external,duty5.external,noextern6.external,other7.external,encouragement1.influence,insistence2.influence,pressure3.influence,other4.influence,transl1.sector,research2.sector,teaching3.sector,business4.sector,tourism5.sector,banking6.sector,organisation7.sector,communication8.sector,intrelations9.sector,Notsure10.sector,other11.sector,Age,Gender,L1,speak.other.L2,study.other.L2,origins,origins.specify,primary1.L2school,secondary2.L2school,CLS3.L2school,VSL4.L2school,schooL2country5.L2school,other6.L2school,L2.VCE,private.lessons1.other.ways,study.holiday2.other.ways,year.sem.abroad3.other.ways,online.course4.other.ways,other5.other.ways,degree.roleL2,other.degree.roleL2,additional.major.minor1,additional.major.minor2,additional.major.minor3,additional.major.minor4,additional.major.minor5,additional.major.minor6,additional.major.minor7,additional.major.minor8,additional.major.minor9,additional.major.minor10,additional.major.minor11,additional.major.minor12,additional.major.minor13,additional.major.minor14,additional.major.minor15,additional.major.minor16,additional.major.minor17,additional.major.minor18,additional.major.minor19,additional.major.minor20,additional.major.minor21,additional.major.minor22,additional.major.minor23,additional.major.minor24,additional.major.minor25,additional.major.minor26,additional.major.minor27,additional.major.minor28,additional.major.minor29,additional.major.minor30,additional.major.minor31,additional.major.minor32,other.major.minor33,uni1.year,language.studies1.year,beginning.level,prof,year.studyL2,Context,other.attrib.richi,other.external.richi,other.sector.richi,other.L2school.richi,other.other.ways.richi,degree,degree.role
5305747406,96358748,2017-03-28T18:09:00Z,2017-03-28T18:14:00Z,Not sure,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Not sure,Strongly agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,NA,NA,NA,0,1,1,0,1,0,1,0,NA,1,0,0,0,0,0,M.INFLUENCE.FROM.PARENTS,1,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,18-25,Female,English,French,No,Yes,Grandparents born in Italy,0,0,0,0,0,NA,No,0,0,0,0,NA,Bachelor of Science with Italian as a major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd year,2nd year,Italian 1 (University of Melbourne),Intermediate,0 years,Italian in Australia,NA,M.INFLUENCE.FROM.PARENTS,NA,NA,NA,SCI,MAJOR
5305835340,96358748,2017-03-28T19:54:00Z,2017-03-28T20:22:00Z,Agree,Strongly agree,Agree,Not sure,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Not sure,Agree,Agree,Not sure,Strongly agree,Agree,Agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Not sure,"I worked in Italy, speak french and adore Italy as a county. The other subjects I take would very much benefit from having two languages, especially in a career sense. I'd love to study and work in Italy in the future.","Language is irrevocably connected with culture, and having access to another language really gives an insight into another culture and way of living as a whole. Being a native speaker of English is a bit of a blessing and a curse. Yes, we speak what is probably the most important language in the world at the moment, however unlike people of other countries we have way less incentive to actually become bi-lingual, so it sort of perpetuates on itself and I just see English speakers becoming perpetually more mono-lingual, which is a shame and really limits the way we can see the world. Obviously having a second language is great on a job-prospect level, but it's also something that I think is really important for me on a personal level.","Hopefully it'll allow me to work in Italy! If not, which honestly is likely, the physical act of speaking another a language is actually really fun and something I've learnt to enjoy heaps from studying french for years.",1,1,1,0,1,1,1,1,NA,1,1,0,0,0,1,M.NO.EXTERNAL.FACTORS,1,0,0,0,1,0,0,0,0,0,1,0,1,1,NA,18-25,Female,English,No,French,No,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,Bachelor of Arts with Diploma of Languages (Italian),NA,NA,NA,NA,Art History,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st year,1st year,Italian 3 (University of Melbourne),Elementary,Less than a year,Italian in Australia,NA,M.NO.EXTERNAL.FACTORS,NA,NA,NA,HUM,DIPLOMA
5305952725,96358748,2017-03-28T21:45:00Z,2017-03-28T21:59:00Z,Not sure,Strongly agree,Agree,Not sure,Not sure,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Not sure,Agree,Not sure,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Not sure,Strongly agree,Agree,Strongly agree,Not sure,Agree,"I have grown up being exposed to elements of Italian culture and feeling that being Italian is part of my identity. Learning Italian would allow me to speak to my Nonna more easily and make me feel more Italian in general, something that's important to me because I really enjoy learning about and kind of honouring my heritage.","I think being bilingual is really useful in today's society. Although I'm really enjoying my Arts degree, sometimes I can't help but fear that it won't be at all useful in getting a job, since it's getting more and more difficult nowadays. Since English is so widely spoken I feel that there will be a demand for it overseas, and if I know Italian as well I'll have an edge, so I'll hopefully have an advantage in getting a job after uni.","I would like to do exchange in Italy or maybe even live there for some time, so Italian would be imperative then. As mentioned, I can also imagine Italian playing a role in my future career, I could work over there or I could get a job that requires me to speak to Italian people here in Australia etc.",0,0,0,0,1,1,1,0,NA,0,0,1,0,0,0,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,1,NA,18-25,Female,English,No,No,Yes,NA,0,0,1,0,0,NA,NA,1,0,0,0,NA,Bachelor of Arts with Diploma of Languages (Italian),NA,NA,NA,NA,Art History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sociology,NA,NA,1st year,1st year,Italian 3 (University of Melbourne),Intermediate,1- 3 years,Italian in Australia,NA,NA,NA,NA,NA,HUM,DIPLOMA
5307149656,96358748,2017-03-29T10:00:00Z,2017-03-29T10:30:00Z,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Not sure,Strongly agree,Strongly agree,Not sure,Strongly agree,Not sure,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not sure,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,"I am currently studying a masters in art curatorship and have developed a strong interest in late medieval cultural production in Europe, in particular Italy.  I have travelled to Italy on several occasions and have spent over 2 moths there during the past two years.  Studying Italian strengthens my qualifications as an art museum professional/art historian.  It will hopefully expand my work opportunities and enable me to contribute more fully to research in my field of art history and curatorship.","The main advantages of studying Italian at University level for me are


I will have stronger qualifications in my field - recognised as more expert.
I will be more confident when communicating and researching in Italy as I have been taught to a high standard. 
I will have a more nuanced understanding of Italian culture.
Ultimately I will have increased agency within Italy when researching.
",Italian has a critical role in my future.  It will solidify my place as a professional in my field and possibly give me an advantage over others.  It opens up a range of work opportunities for me in varying fields within my area of study e.g. museums/universities/auction houses in many different countries around the world.,0,1,1,0,1,1,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,CULTURE,over 36,Female,English,No,No,No,NA,1,0,0,0,0,NA,No,1,0,0,0,NA,"Other (please specify your degree and whether Italian is a major, minor or breadth subject)",Graduate Diploma Arts Italian,NA,NA,NA,Art History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master,1st year,Italian 3 (University of Melbourne),Elementary,Less than a year,Italian in Australia,NA,NA,CULTURE,NA,NA,HUM,DIPLOMA
5307166459,96358748,2017-03-29T10:18:00Z,2017-03-29T10:33:00Z,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not sure,Strongly agree,Not sure,Strongly agree,Strongly agree,Agree,Strongly agree,Not sure,Not sure,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,"I have always wanted to learn a european language and university is offered the opportunity. I have traveled to Italy before and love the culture and language, so that is why I specifically chose Italian. I am not from Italian heritage.",Studying language at a university level gives students the opportunity to be emersed in the language and culture of Italy without being there.,"I hope to travel in the future, and perhaps live and work in Italy for a while.",0,1,0,0,1,0,1,0,NA,0,0,0,0,0,1,QC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,18-25,Female,English,No,No,No,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,"Other (please specify your degree and whether Italian is a major, minor or breadth subject)",Bachelor of Environments with Diploma of Languages (Italian),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd year,2nd year,Italian 1 (University of Melbourne),Elementary,0 years,Italian in Australia,NA,QC,NA,NA,NA,SCI,DIPLOMA
5307261650,96358748,2017-03-29T12:01:00Z,2017-03-29T12:20:00Z,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,A desire to broaden the Society I can interact with.,"In my opinion Language is the main, or most apparent, facilitator of Human thought, so studying any such at a University Level is to me the closest one can get to, in a literal sense, gaining a new perspective on the world. Italian specifically is a language with a rich literary and historical tradition alongside it's modern use, thus studying it at a University level better facilitates the opening of that different perspective, contrasted to say Albanian or Indonesian.","I'm planning to go on exchange in July to Bologna, so most immediately It'll help me get the most out of that experience and make connections that would otherwise be impossible. Also in helping me reconnect with my family and roots in Italy, they're from Campagna, something I've wanted to do since I was young. Further in my future career, I'm currently working towards diplomatic roles and hopefully one day working in the United Nations, a body in which knowledge of any language is not a wasted skill.",1,1,1,0,1,1,1,1,NA,0,1,0,0,1,0,QC,1,0,0,0,1,0,0,0,0,0,1,0,1,0,NA,18-25,Male,English,No,"I studied beginner Arabic, and Ancient Egyptian language.",Yes,"My great-grandmother fled the rise of Fascism in the south of Italy during the 20's with her parents, being from an aristocratic family.",1,0,0,0,0,NA,No,0,0,0,0,ONLINE.COURSE,Bachelor of Arts with Italian as a major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Politics and International Studies,NA,NA,NA,NA,NA,NA,2nd year,2nd year,Italian 1 (University of Melbourne),Intermediate,Less than a year,Italian in Australia,NA,QC,NA,NA,ONLINE.COURSE,HUM,MAJOR
5307627218,96358748,2017-03-29T20:05:00Z,2017-03-29T20:23:00Z,Agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,"I already speak three languages fluently and I wanted to become fluent in a fourth language, so I chose Italian. I love the language, Italian culture, food and history, even though I am not Italian or of Italian origin myself. I would like to be able to teach Italian after completing my degree.","Personally, I believe that studying any foreign language at university level is something that has many advantages. Although Italian is not known to be one of the most popular or widely-spoken languages around the world, I chose to study Italian at university level purely because I love the culture, the country, and the language. My decision to study Italian as a major will enable me to work with the language in a professional setting - I would like to teach Italian in the future.","Italian is very important for me as it is one of my majors. Ultimately, it is my goal to be able to teach English, French, Greek and Italian (Italian is the only language that I do not speak fluently yet). In order to do this, I am trying my hardest to immerse myself in the language as much as possible on a daily basis in order to reach my goal by the end of my studies: becoming a teacher of Italian.",1,1,1,0,1,1,1,1,NA,0,0,0,0,0,1,QC,0,0,1,0,1,1,1,0,0,0,0,0,0,0,M.TEACHING,18-25,Female,English,"Greek (Bilingual English-Greek), French.","French, Modern Greek",No,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,Bachelor of Arts with Diploma of Languages (Italian),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd year,2nd year,Italian 1 (University of Melbourne),Intermediate,0 years,Italian in Australia,NA,QC,M.TEACHING,NA,NA,HUM,DIPLOMA
5309021071,96358748,2017-03-30T11:46:00Z,2017-04-02T13:36:00Z,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Not sure,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Strongly agree,Strongly agree,"I have continued to study Italian at university level because it helps with my communication skills. For example, it will help me speak the language more confidently in Italian-speaking countries and within Italian communities.","Learning Italian at university level means I can stand out from the crowd in the job market. Studying a language at university is seen as very cultured and being very open minded, meaning that I will be a more successful candidate when being employed.","I would like to do exchange in Bologna. Also, I can become a more confident person knowing another language, as my communication skills will significantly develop.",1,1,1,0,1,1,1,1,SOCIABLE,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,18-25,Female,English,Greek,Japanese but I'm not going to continue learning it,No,NA,1,1,0,0,0,NA,Yes,0,1,0,0,NA,Bachelor of Arts with Italian as a major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English and Theatre Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st year,1st year,Italian 5 (University of Melbourne),Intermediate,more than 6 years,Italian in Australia,SOCIABLE,NA,NA,NA,NA,HUM,MAJOR
5309034710,96358748,2017-03-30T11:52:00Z,2017-03-30T12:13:00Z,Agree,Not sure,Not sure,Not sure,Not sure,Disagree,Disagree,Disagree,Agree,Strongly agree,Not sure,Strongly agree,Agree,Not sure,Strongly agree,Not sure,Not sure,Agree,Not sure,Agree,Not sure,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Not sure,Strongly disagree,Agree,Not sure,I love romantic languages and I want to be fluent in one (and italian happened to be the one I chose to learn in high school so I am continuing it in university),Not sure yet - ofcourse I will be able to do an exchange to Italy and make the most of it as I have a certain level of proficiency in the language.,Not sure.,0,1,1,0,0,0,1,1,AWARE,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,18-25,Female,English,No,No,No,NA,0,1,0,0,0,NA,Yes,0,0,0,0,NA,Bachelor of Science with Italian as a major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal health and disease,1st year,1st year,Italian 5 (University of Melbourne),Intermediate,4-6 years,Italian in Australia,AWARE,NA,NA,NA,NA,SCI,MAJOR
5309036001,96358748,2017-03-30T12:03:00Z,2017-03-30T12:29:00Z,Agree,Not sure,Not sure,Not sure,Agree,Not sure,Disagree,Disagree,Disagree,Agree,Not sure,Agree,Agree,Agree,Agree,Not sure,Not sure,Strongly agree,Not sure,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,To be able to interact with family members who speak Italian as their primary language. Also to be able to travel overseas in the future with a greater knowledge of the language.,There is the possibility for a university level education in Italian to lead to job opportunities in the future. It also helps to gain a more indepth understanding of the language.,"Italian will assist me in travelling overseas, particularly to Europe. A knowledge of Italian will allow me to interact with Italian people and locals that I may meet. It will also enable me to build stronger connections with family members who communicate primarily in Italian.",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,QC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,18-25,Female,English,No,No,Yes,Grandparents born in Italy,1,1,0,0,0,NA,Yes,0,1,0,0,NA,Bachelor of Arts with Italian as a breadth subject.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psychology,NA,NA,NA,NA,NA,1st year,1st year,Italian 5 (University of Melbourne),Intermediate,more than 6 years,Italian in Australia,NA,QC,NA,NA,NA,HUM,BREADTH
